Type product;Brand;Model;Min price;Max price;Num offers;URL
Televisor;TCL;55C715;14 300;16 215 Kč;v 14 obchodech;https://televize.heureka.cz/tcl-55c715/
Televisor;Star-Light;55SLTA8500USA;7 667 Kč;no max price;vExtreme Digital Zrt.;https://www.heureka.cz/exit/edigital-cz/3835752310/?z=48
Televisor;Sony;Bravia;8 793;14 161 Kč;v 44 obchodech;https://televize.heureka.cz/sony-bravia-kdl-43wf665/
Televisor;Panasonic;TX-55HX940E;19 988;26 490 Kč;v 13 obchodech;https://televize.heureka.cz/panasonic-tx-55hx940e/
Televisor;VIVAX;TV-43S60T2S2;4 868;6 895 Kč;ve 2 obchodech;https://televize.heureka.cz/vivax-tv-43s60t2s2/
Televisor;GoGEN;TVF;4 990;5 990 Kč;v 5 obchodech;https://televize.heureka.cz/gogen-tvf-32r528s/
Televisor;GoGEN;TVF;3 790;4 394 Kč;v 15 obchodech;https://televize.heureka.cz/gogen-tvf-22p406/
Televisor;Sencor;SLE;3 800;4 431 Kč;v 46 obchodech;https://televize.heureka.cz/sencor-sle-3229t/
Televisor;Philips;24PHS4304;3 490;4 499 Kč;ve 4 obchodech;https://televize.heureka.cz/philips-24phs4304/
Televisor;Hitachi;24HE2100;3 999;4 558 Kč;v 13 obchodech;https://televize.heureka.cz/hitachi-24he2100/
Televisor;Panasonic;TX-40HX810E;13 990 Kč;no max price;v 10 obchodech;https://televize.heureka.cz/panasonic-tx-40hx810e/
